"pid","lat","lon"
2150,41.2706552,-72.901072
2151,41.270514,-72.901112
2152,41.2703799,-72.9010845
2153,41.2805178,-72.8977366
2154,41.278013,-72.901372
2155,41.2894683,-72.9030822
2156,41.2914167,-72.9026013
2157,41.2865096,-72.9015557
2158,41.3083092,-72.9098583
2159,41.308893,-72.9098058
2160,41.308893,-72.9098058
2161,41.308893,-72.9098058
2162,41.281179,-72.898268
2163,41.28131,-72.89819
2164,41.2813545,-72.8976501
2165,41.281564,-72.898058
2166,41.2816109,-72.8975571
2167,41.281813,-72.897917
2168,41.281865,-72.897544
2169,41.282115,-72.897899
2170,41.2823769,-72.8976799
2171,41.148267,-77.41097
2172,34.7556317,-87.6678369
2173,41.2823145,-72.8971627
2174,41.2823145,-72.8971627
2175,41.2823619,-72.8971442
2176,41.2823619,-72.8971442
2177,41.2823619,-72.8971442
2178,42.3300676,-83.0449362
2179,42.3300676,-83.0449362
2180,44.9224128,-91.3886401
2181,44.9224128,-91.3886401
2182,44.9220905,-91.3886951
2183,44.9220905,-91.3886951
2184,40.4704626,-80.0691074
2185,40.4704626,-80.0691074
2186,40.4706616,-80.0693582
2187,40.4706616,-80.0693582
2188,29.9428022,-90.2064706
2189,29.9428022,-90.2064706
2190,41.2829176,-72.8969268
2191,41.2829176,-72.8969268
2192,41.148195,-77.411372
2193,41.148195,-77.411372
2194,41.148195,-77.411372
2195,41.283003,-72.897136
2196,41.283152,-72.897081
2197,41.283263,-72.897038
2198,42.2965689,-85.5957184
2199,41.2834437,-72.8967181
2200,40.4712202,-80.0700848
2201,41.2835229,-72.8966873
2202,41.2835638,-72.8966722
2203,41.2836046,-72.896657
2204,41.2837965,-72.8967233
2205,41.2838769,-72.897222
2206,41.2805178,-72.8977366
2207,41.2845934,-72.8964208
2208,41.284776,-72.896492
2209,41.2849258,-72.8963077
2210,41.2850328,-72.896253
2211,41.28371,-72.89695
2212,41.2811031,-72.8972558
2213,41.281282,-72.89702
2214,41.281403,-72.896977
2215,41.281568,-72.89691
2216,41.281751,-72.896837
2217,41.28191,-72.8967739
2218,41.282074,-72.89671
2219,41.282276,-72.89662
2220,41.282563,-72.896195
2221,41.2827205,-72.8968601
2222,34.7556124,-87.6672093
2223,34.7556124,-87.6672093
2224,34.7556124,-87.6672093
2225,34.7556124,-87.6672093
2226,34.7556124,-87.6672093
2227,42.329664,-83.045743
2228,42.329664,-83.045743
2229,42.329664,-83.045743
2230,42.329664,-83.045743
2231,42.329664,-83.045743
2232,42.329664,-83.045743
2233,42.329664,-83.045743
2234,42.329664,-83.045743
2235,42.329664,-83.045743
2236,40.707279,-73.9093415
2237,40.707279,-73.9093415
2238,40.707279,-73.9093415
2239,40.707279,-73.9093415
2240,40.707279,-73.9093415
2241,32.3649377,-90.1806458
2242,32.3649377,-90.1806458
2243,32.3649377,-90.1806458
2244,32.3649377,-90.1806458
2245,41.2830135,-72.8959935
2246,41.2830135,-72.8959935
2247,40.4705889,-80.0699197
2248,40.4705889,-80.0699197
2249,40.4706741,-80.0700151
2250,40.4706741,-80.0700151
2251,40.4706741,-80.0700151
2252,40.4706741,-80.0700151
2253,41.2830036,-72.8959797
2254,41.2830036,-72.8959797
2255,41.2830036,-72.8959797
2256,41.2830036,-72.8959797
2257,41.2830068,-72.8959779
2258,41.2830068,-72.8959779
2259,41.2830068,-72.8959779
2260,41.2830068,-72.8959779
2261,40.4709132,-80.0702558
2262,40.4709132,-80.0702558
2263,40.4709132,-80.0702558
2264,40.4709132,-80.0702558
2265,41.283347,-72.895708
2266,41.283524,-72.89614
2267,41.283588,-72.895709
2268,41.283762,-72.895842
2269,41.283931,-72.895998
2270,41.284086,-72.8959409
2271,41.2805178,-72.8977366
2272,41.284554,-72.895766
2273,41.2847093,-72.8958124
2274,41.2848485,-72.8958039
2275,40.6392478,-111.8427206
2276,41.2848636,-72.8950985
2277,41.284714,-72.895201
2278,41.2845439,-72.8952599
2279,41.2843639,-72.895317
2280,41.284196,-72.895393
2281,41.284033,-72.895531
2282,41.283768,-72.895346
2283,41.2852429,-72.8947372
2284,41.283978,-72.894768
2285,41.2741667,-72.896459
2286,41.284138,-72.8947249
2287,41.284319,-72.8947488
2288,41.284465,-72.894633
2289,41.28463,-72.894588
2290,41.2848015,-72.894621
2291,41.284708,-72.893997
2292,41.284525,-72.894048
2293,41.284363,-72.894081
2294,41.284205,-72.894127
2295,41.284048,-72.894166
2296,41.28389,-72.894204
2297,41.283739,-72.894248
2298,41.2835705,-72.8942159
2299,41.283374,-72.894553
2300,41.283264,-72.894625
2301,41.283138,-72.894678
2302,41.282983,-72.894768
2303,41.282832,-72.894811
2304,41.282696,-72.894857
2305,41.282507,-72.894667
2306,41.282322,-72.894692
2307,41.282441,-72.895248
2308,41.282138,-72.894805
2309,41.282002,-72.894857
2310,41.281858,-72.894923
2311,41.281686,-72.894985
2312,41.281497,-72.895064
2313,41.281317,-72.8951249
2314,41.2811359,-72.89518
2315,41.280949,-72.89524
2316,41.28073,-72.895319
2317,41.280957,-72.895621
2318,41.2808315,-72.8958861
2319,41.281196,-72.895836
2320,41.28135,-72.895688
2321,41.281505,-72.895636
2322,41.281668,-72.89558
2323,41.2818544,-72.8955932
2324,41.28199,-72.895435
2325,41.282167,-72.895349
2326,41.2782363,-72.8971325
2327,41.2782363,-72.8971325
2328,41.282264,-72.8961
2329,41.282114,-72.896143
2330,41.281955,-72.896187
2331,41.281793,-72.89626
2332,41.281604,-72.896338
2333,41.281356,-72.896428
2334,41.280908,-72.896367
2335,41.281027,-72.89655
2336,NA,NA
2337,41.281044,-72.896918
2338,41.2810816,-72.8970929
2339,41.2741667,-72.896459
2340,41.2854764,-72.8910278
2341,41.282248,-72.890525
2342,41.2802754,-72.8900415
2343,41.28192,-72.890485
2344,41.2816739,-72.8903353
2345,41.281546,-72.890459
2346,41.2813834,-72.890329
2347,41.2811189,-72.89045
2348,41.2809627,-72.8903223
2349,42.3668072,-72.5713058
2350,42.3668072,-72.5713058
2351,42.3668072,-72.5713058
2352,42.3668072,-72.5713058
2353,41.698825,-72.087476
2354,41.698825,-72.087476
2355,41.698825,-72.087476
2356,41.698825,-72.087476
2357,41.010336,-73.783017
2358,41.010336,-73.783017
2359,41.010336,-73.783017
2360,41.010336,-73.783017
2361,41.280115,-72.890252
2362,41.2800895,-72.8905087
2363,41.2801649,-72.890728
2364,41.28019,-72.890976
2365,41.280215,-72.891219
2366,41.2802409,-72.891454
2367,41.2802102,-72.8917067
2368,41.280295,-72.891946
2369,41.280322,-72.892195
2370,41.2803449,-72.892407
2371,41.280365,-72.89259
2372,41.280385,-72.892769
2373,41.280406,-72.892951
2374,41.280423,-72.893134
2375,41.280445,-72.893314
2376,NA,NA
2377,41.2804481,-72.8936962
2378,41.2804918,-72.893879
2379,41.2805177,-72.894059
2380,41.280611,-72.894471
2381,41.281086,-72.8927549
2382,41.2826228,-72.8882779
2383,41.283867,-72.88762
2384,41.28364,-72.8877034
2385,41.283456,-72.887848
2386,41.28331,-72.887965
2387,41.2831907,-72.8880363
2388,41.283079,-72.888158
2389,41.2829604,-72.8882484
