"pid","location","totval","bedrooms","bathrooms","halfbaths"
165,"675 TOWNSEND AV #165",164800,2,1,1
166,"675 TOWNSEND AV #166",166700,2,1,1
167,"675 TOWNSEND AV #167",164500,2,2,0
168,"675 TOWNSEND AV #168",123600,1,1,0
169,"675 TOWNSEND AV #169",153600,2,1,1
170,"675 TOWNSEND AV #170",150700,2,1,1
171,"675 TOWNSEND AV #171",150600,2,2,0
172,"675 TOWNSEND AV #178",169800,2,2,0
173,"675 TOWNSEND AV #179",153600,2,1,1
174,"675 TOWNSEND AV #180",150000,2,1,1
175,"675 TOWNSEND AV #181",140000,2,2,0
176,"675 TOWNSEND AV #190",163800,2,2,0
177,"675 TOWNSEND AV #191",150700,2,1,1
178,"675 TOWNSEND AV #192",150700,2,1,1
179,"675 TOWNSEND AV #193",172100,2,2,0
180,"675 TOWNSEND AV #186",152900,2,2,0
181,"675 TOWNSEND AV #187",151900,2,1,1
182,"675 TOWNSEND AV #188",150700,2,1,1
183,"675 TOWNSEND AV #189",152900,2,2,0
184,"675 TOWNSEND AV #182",152300,2,2,0
185,"675 TOWNSEND AV #183",150000,2,1,1
186,"675 TOWNSEND AV #184",154200,2,1,1
187,"675 TOWNSEND AV #185",172100,2,2,0
188,"675 TOWNSEND AV #176",111600,1,1,0
189,"675 TOWNSEND AV #177",153500,2,2,0
190,"675 TOWNSEND AV #172",143000,2,1,1
191,"675 TOWNSEND AV #173",153200,2,1,1
192,"675 TOWNSEND AV #174",152600,2,1,1
193,"675 TOWNSEND AV #175",109600,3,1,0
194,"675 TOWNSEND AV #152",119300,1,1,0
195,"675 TOWNSEND AV #153",150600,2,2,0
196,"675 TOWNSEND AV #148",157400,2,1,1
197,"675 TOWNSEND AV #149",150700,2,1,1
198,"675 TOWNSEND AV #150",150700,2,1,1
199,"675 TOWNSEND AV #151",125200,2,2,0
200,"675 TOWNSEND AV #144",157400,2,1,1
201,"675 TOWNSEND AV #145",150700,2,1,1
202,"675 TOWNSEND AV #146",150700,2,1,1
203,"675 TOWNSEND AV #147",159500,2,1,1
204,"675 TOWNSEND AV #128",184300,2,2,1
205,"675 TOWNSEND AV #129",150700,2,1,1
206,"675 TOWNSEND AV #130",150700,2,1,1
207,"675 TOWNSEND AV #131",184300,2,2,1
208,"675 TOWNSEND AV #126",155800,2,2,1
209,"675 TOWNSEND AV #127",199300,2,2,1
210,"675 TOWNSEND AV #122",191000,2,2,1
211,"675 TOWNSEND AV #123",150700,2,1,1
212,"675 TOWNSEND AV #124",170400,2,1,1
213,"675 TOWNSEND AV #125",191100,2,2,1
214,"675 TOWNSEND AV #112",175400,2,2,1
215,"675 TOWNSEND AV #113",150700,2,1,1
216,"675 TOWNSEND AV #114",150700,2,1,1
217,"675 TOWNSEND AV #115",191000,2,2,1
218,"675 TOWNSEND AV #108",172100,2,2,0
219,"675 TOWNSEND AV #109",155900,2,1,1
220,"675 TOWNSEND AV #110",156600,2,1,1
221,"675 TOWNSEND AV #111",192900,2,2,1
222,"675 TOWNSEND AV #104",210900,2,2,1
223,"675 TOWNSEND AV #105",167800,2,2,0
224,"675 TOWNSEND AV #106",155600,2,1,1
225,"675 TOWNSEND AV #107",166800,2,2,0
226,"675 TOWNSEND AV #101",203900,2,2,1
227,"675 TOWNSEND AV #102",166800,2,1,1
228,"675 TOWNSEND AV #103",203900,2,2,1
229,"108 LAURA LA",8200,NA,NA,NA
230,"102 LAURA LA",146900,2,1,0
231,"96 LAURA LA",131800,3,1,0
232,"LAURA LA",3200,NA,NA,NA
233,"LAURA LA",5200,NA,NA,NA
234,"86 LAURA LA",150700,3,1,0
235,"80 LAURA LA",140700,3,1,0
236,"76 LAURA LA",140200,3,1,0
237,"72 LAURA LA",155800,3,1,0
238,"68 LAURA LA",162200,3,1,1
239,"62 LAURA LA",166100,3,1,0
240,"56 LAURA LA",154800,3,2,0
241,"50 LAURA LA",151600,3,1,0
242,"46 LAURA LA",242300,5,2,0
243,"42 LAURA LA",179500,3,1,0
244,"38 LAURA LA",163800,2,1,0
245,"32 LAURA LA",153000,3,1,0
246,"24 LAURA LA",179100,3,1,0
247,"16 LAURA LA",152200,3,1,0
248,"10 LAURA LA",143300,3,1,0
249,"4 LAURA LA",135200,2,1,0
250,"115 LAURA LA",10200,NA,NA,NA
251,"107 LAURA LA",142600,3,1,0
252,"101 LAURA LA",154200,3,2,0
253,"95 LAURA LA",152400,2,2,0
254,"87 LAURA LA",137200,3,1,0
255,"81 LAURA LA",152600,3,1,0
256,"35 LAURA LA",161200,3,1,0
257,"29 LAURA LA",151000,3,1,0
258,"23 LAURA LA",156600,3,1,0
259,"17 LAURA LA",153000,3,1,0
260,"11 LAURA LA",150100,3,1,0
261,"5 LAURA LA",105100,3,2,0
262,"159 HUNTINGTON RD",3300,NA,NA,NA
263,"157 HUNTINGTON RD",3000,NA,NA,NA
264,"151 HUNTINGTON RD",305400,3,3,1
265,"155 HUNTINGTON RD",303500,4,2,1
266,"145 HUNTINGTON RD",183200,3,1,1
267,"137 HUNTINGTON RD",168700,3,1,1
268,"129 HUNTINGTON RD",179800,3,2,0
269,"123 HUNTINGTON RD",197300,3,3,0
270,"115 HUNTINGTON RD",227600,3,2,1
271,"107 HUNTINGTON RD",175100,3,2,0
272,"99 HUNTINGTON RD",168600,8,3,0
273,"91 HUNTINGTON RD",178100,6,2,0
274,"83 HUNTINGTON RD",156900,6,2,0
275,"75 HUNTINGTON RD",182700,5,3,0
276,"65 HUNTINGTON RD",178800,3,1,0
277,"44 ELIZABETH ANN DR",151200,6,2,0
278,"52 ELIZABETH ANN DR",142600,5,2,0
279,"56 ELIZABETH ANN DR",126300,6,2,0
280,"60 ELIZABETH ANN DR",166500,5,3,0
281,"66 ELIZABETH ANN DR",169900,5,3,0
282,"CHARTER OAK AV",5000,NA,NA,NA
283,"CHARTER OAK AV",5000,NA,NA,NA
284,"CHARTER OAK AV",6300,NA,NA,NA
285,"CHARTER OAK AV",5000,NA,NA,NA
286,"CHARTER OAK AV",5000,NA,NA,NA
287,"CHARTER OAK AV",5000,NA,NA,NA
288,"125 HUNTINGTON RD",5000,NA,NA,NA
289,"CHARTER OAK AV",5000,NA,NA,NA
290,"CHARTER OAK AV",5000,NA,NA,NA
291,"4 HUGHES ST EX",145700,3,1,0
292,"8 HUGHES ST EX",153300,3,1,0
293,"72 ELIZABETH ANN DR",140800,5,2,0
294,"78 ELIZABETH ANN DR",133200,4,2,0
295,"84 ELIZABETH ANN DR",144300,4,2,0
296,"88 ELIZABETH ANN DR",168600,6,4,0
297,"94 ELIZABETH ANN DR",163400,5,3,0
298,"100 ELIZABETH ANN DR",146700,4,2,0
299,"104 ELIZABETH ANN DR",147700,5,2,0
300,"110 ELIZABETH ANN DR",144600,4,2,0
301,"118 ELIZABETH ANN DR",159000,6,2,0
302,"124 ELIZABETH ANN DR",162200,4,2,0
303,"132 ELIZABETH ANN DR",148700,4,2,0
304,"138 ELIZABETH ANN DR",232200,7,3,2
305,"146 ELIZABETH ANN DR",169600,4,2,0
306,"5 MASSACHUSETTS AV",226500,4,2,1
307,"11 MASSACHUSETTS AV",212200,3,2,0
308,"MASSACHUSETTS AV",3200,NA,NA,NA
309,"75 ELIZABETH ANN DR",142700,4,2,0
310,"55 ELIZABETH ANN DR",173800,5,3,0
311,"49 ELIZABETH ANN DR",146000,5,2,0
312,"41 ELIZABETH ANN DR",136200,4,2,0
313,"35 ELIZABETH ANN DR",120900,4,2,0
314,"29 ELIZABETH ANN DR",125800,4,2,0
315,"21 ELIZABETH ANN DR",162800,5,2,0
316,"15 ELIZABETH ANN DR",152800,6,3,0
317,"7 ELIZABETH ANN DR",132400,4,2,0
318,"CLARENDON ST",40100,NA,NA,NA
319,"147 ELIZABETH ANN DR",151700,4,3,0
320,"141 ELIZABETH ANN DR",172300,6,3,0
321,"131 ELIZABETH ANN DR",146900,6,2,0
322,"125 ELIZABETH ANN DR",143100,6,2,0
323,"117 ELIZABETH ANN DR",135500,5,2,0
324,"103 ELIZABETH ANN DR",156100,6,2,0
325,"109 ELIZABETH ANN DR",133700,5,2,0
326,"83 ELIZABETH ANN DR",138700,6,3,0
327,"53 HUNTINGTON RD",158400,3,1,0
328,"41 HUNTINGTON RD",205800,3,3,0
329,"37 HUNTINGTON RD",148400,3,1,0
330,"29 HUNTINGTON RD",157600,3,1,0
331,"23 HUNTINGTON RD",212100,4,2,NA
332,NA,NA,NA,NA,NA
333,"87 CLARENDON ST",181300,3,1,1
334,"95 CLARENDON ST",191800,3,1,0
335,"105 CLARENDON ST",174000,3,1,0
336,"8 ELIZABETH ANN DR",127500,6,2,0
337,"18 ELIZABETH ANN DR",126800,4,2,0
338,"28 ELIZABETH ANN DR",128700,5,2,0
339,"32 ELIZABETH ANN DR",126100,4,2,0
340,"821 TOWNSEND AV",298200,2,2,0
341,"29 SOUND VIEW TER",165400,3,1,1
342,"39 SOUND VIEW TER",187400,3,1,1
343,"49 SOUND VIEW TER",189800,3,1,1
344,"59 SOUND VIEW TER",198500,3,1,1
345,"75 SOUND VIEW TER",212000,4,1,1
346,"85 SOUND VIEW TER",201500,3,2,0
347,"95 SOUND VIEW TER",193100,3,1,1
348,"105 SOUND VIEW TER",162300,2,1,1
349,"115 SOUND VIEW TER",173500,2,1,1
350,"125 SOUND VIEW TER",147500,2,1,0
351,"135 SOUND VIEW TER",158400,3,1,1
352,"145 SOUND VIEW TER",218800,3,1,1
353,"4 HORSLEY AV",200400,3,2,1
354,"2 HORSLEY AV",146100,2,1,0
355,"HORSLEY AV",400,NA,NA,NA
356,"TUTTLE DR",200,NA,NA,NA
357,"174 TUTTLE DR",230400,3,1,1
358,"168 TUTTLE DR",241900,3,2,0
359,"160 TUTTLE DR",251400,3,1,1
360,"150 TUTTLE DR",210000,2,1,1
361,"144 TUTTLE DR",213500,3,1,1
362,"136 TUTTLE DR",200100,3,1,1
363,"128 TUTTLE DR",223100,2,1,1
364,"120 TUTTLE DR",207900,3,2,1
365,"112 TUTTLE DR",298700,3,2,0
366,"104 TUTTLE DR",244600,2,1,1
367,"785 TOWNSEND AV",239900,2,2,0
368,"795 TOWNSEND AV",220700,3,1,1
369,"801 TOWNSEND AV",237400,4,2,1
370,"TOWNSEND AV",6200,NA,NA,NA
371,"809 TOWNSEND AV",243800,4,2,0
372,"91 HORSLEY AV",198700,2,1,1
373,"265 UPSON TER",163100,3,1,1
374,"285 UPSON TER",188400,3,1,1
375,"40 HOPKINS DR",336300,4,2,1
376,"30 HOPKINS DR",162700,2,1,0
377,"22 HOPKINS DR",229300,3,1,1
378,"14 HOPKINS DR",207300,3,2,1
379,"8 HOPKINS DR",217000,3,2,0
380,"4 HOPKINS DR",344200,3,3,0
381,"HORSLEY AV",300,NA,NA,NA
382,"1 HORSLEY AV",201200,2,2,0
383,"5 HORSLEY AV",263000,3,2,1
384,"11 HORSLEY AV",223300,3,2,0
385,"35 HORSLEY AV",205500,2,1,1
386,"45 HORSLEY AV",200700,3,1,1
387,"61 HORSLEY AV",182500,3,2,0
388,"75 HORSLEY AV",189000,3,2,1
389,"305 UPSON TER",349600,3,2,1
390,"335 UPSON TER",267400,5,3,0
391,"112 HUNTINGTON RD",173200,2,1,0
392,"120 HUNTINGTON RD",229900,3,2,0
393,"128 HUNTINGTON RD",165100,2,1,1
394,"136 HUNTINGTON RD",194100,3,1,1
395,"144 HUNTINGTON RD",201900,3,2,0
396,"150 HUNTINGTON RD",243500,3,2,1
397,"160 HUNTINGTON RD",264600,3,2,1
398,"HOPKINS DR",5200,NA,NA,NA
399,"3 HOPKINS DR",357800,4,3,0
400,"5 HOPKINS DR",194100,3,1,1
401,"15 HOPKINS DR",204200,3,1,1
402,"19 HOPKINS DR",192500,3,1,1
403,"25 HOPKINS DR",209100,2,1,0
404,"39 HOPKINS DR",247100,3,1,1
405,"873 TOWNSEND AV",196200,4,2,0
406,"131 UPSON TER",247900,3,2,0
