"pid","location","totval","bedrooms","bathrooms","halfbaths"
344,"59 SOUND VIEW TER","198500","3","1","1"
345,"75 SOUND VIEW TER","212000","4","1","1"
346,"85 SOUND VIEW TER","201500","3","2","0"
347,"95 SOUND VIEW TER","193100","3","1","1"
348,"105 SOUND VIEW TER","162300","2","1","1"
349,"115 SOUND VIEW TER","173500","2","1","1"
350,"125 SOUND VIEW TER","147500","2","1","0"
351,"135 SOUND VIEW TER","158400","3","1","1"
352,"145 SOUND VIEW TER","218800","3","1","1"
353,"4 HORSLEY AV","200400","3","2","1"
354,"2 HORSLEY AV","146100","2","1","0"
355,"HORSLEY AV","400","","",""
356,"TUTTLE DR","200","","",""
357,"174 TUTTLE DR","230400","3","1","1"
358,"168 TUTTLE DR","241900","3","2","0"
359,"160 TUTTLE DR","251400","3","1","1"
360,"150 TUTTLE DR","210000","2","1","1"
361,"144 TUTTLE DR","213500","3","1","1"
362,"136 TUTTLE DR","200100","3","1","1"
363,"128 TUTTLE DR","223100","2","1","1"
364,"120 TUTTLE DR","207900","3","2","1"
365,"112 TUTTLE DR","298700","3","2","0"
366,"104 TUTTLE DR","244600","2","1","1"
367,"785 TOWNSEND AV","239900","2","2","0"
368,"795 TOWNSEND AV","220700","3","1","1"
369,"801 TOWNSEND AV","237400","4","2","1"
370,"TOWNSEND AV","6200","","",""
371,"809 TOWNSEND AV","243800","4","2","0"
372,"91 HORSLEY AV","198700","2","1","1"
373,"265 UPSON TER","163100","3","1","1"
374,"285 UPSON TER","188400","3","1","1"
375,"40 HOPKINS DR","336300","4","2","1"
376,"30 HOPKINS DR","162700","2","1","0"
377,"22 HOPKINS DR","229300","3","1","1"
378,"14 HOPKINS DR","207300","3","2","1"
379,"8 HOPKINS DR","217000","3","2","0"
380,"4 HOPKINS DR","344200","3","3","0"
381,"HORSLEY AV","300","","",""
382,"1 HORSLEY AV","201200","2","2","0"
383,"5 HORSLEY AV","263000","3","2","1"
384,"11 HORSLEY AV","223300","3","2","0"
385,"35 HORSLEY AV","205500","2","1","1"
386,"45 HORSLEY AV","200700","3","1","1"
387,"61 HORSLEY AV","182500","3","2","0"
388,"75 HORSLEY AV","189000","3","2","1"
389,"305 UPSON TER","349600","3","2","1"
390,"335 UPSON TER","267400","5","3","0"
391,"112 HUNTINGTON RD","173200","2","1","0"
392,"120 HUNTINGTON RD","229900","3","2","0"
393,"128 HUNTINGTON RD","165100","2","1","1"
394,"136 HUNTINGTON RD","194100","3","1","1"
395,"144 HUNTINGTON RD","201900","3","2","0"
396,"150 HUNTINGTON RD","243500","3","2","1"
397,"160 HUNTINGTON RD","264600","3","2","1"
398,"HOPKINS DR","5200","","",""
399,"3 HOPKINS DR","357800","4","3","0"
400,"5 HOPKINS DR","194100","3","1","1"
401,"15 HOPKINS DR","204200","3","1","1"
402,"19 HOPKINS DR","192500","3","1","1"
403,"25 HOPKINS DR","209100","2","1","0"
404,"39 HOPKINS DR","247100","3","1","1"
405,"873 TOWNSEND AV","196200","4","2","0"
406,"131 UPSON TER","247900","3","2","0"
407,"20 LEROY TER","163800","3","1","0"
408,"16 LEROY TER","272200","3","1","0"
409,"60 SOUND VIEW TER","171100","3","1","0"
410,"44 SOUND VIEW TER","261800","4","1","0"
411,"30 SOUND VIEW TER","175300","3","1","1"
412,"835 TOWNSEND AV","200100","2","1","0"
413,"845 TOWNSEND AV","262800","4","1","1"
414,"853 TOWNSEND AV","220200","4","3","0"
415,"LEROY TER","500","","",""
416,"155 UPSON TER","172500","3","1","1"
417,"165 UPSON TER","188000","3","1","1"
418,"175 UPSON TER","188600","3","1","1"
419,"185 UPSON TER","215300","4","1","1"
420,"195 UPSON TER","198700","3","1","1"
421,"205 UPSON TER","172700","3","1","1"
422,"215 UPSON TER","204100","3","1","1"
423,"140 SOUND VIEW TER","199400","4","2","0"
424,"70 HORSLEY AV","170900","3","2","0"
425,"136 SOUND VIEW TER","210200","3","1","1"
426,"126 SOUND VIEW TER","191300","2","2","0"
427,"114 SOUND VIEW TER","193800","3","1","1"
428,"104 SOUND VIEW TER","208200","3","1","1"
