"pid","location","totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
18176,"74 SHELTON AV",122100,9,1,3,0,"08/21/2012",275000,"07/08/2005",0,"07/29/1997",0,"04/14/1997",0,"04/09/1997",1903,4080,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.32457093,-72.93399
18181,"119 COUNTY ST",128600,6,0,3,0,"11/23/1999",16000,"03/11/1988",NA,NA,NA,NA,NA,NA,1900,2993,78,"2 Family","Multi-Fam 2-4","Above Average",2,"Central","Average","Average",0.27,"RM2","1600",0,41.31901108,-72.93833457
18183,"123 COUNTY ST",115500,4,0,2,0,"07/07/1967",NA,NA,NA,NA,NA,NA,NA,NA,1910,2120,93,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Above Average","Above Average",0.1,"RM2","1600",0,41.319090195,-72.93829651
18184,"127 COUNTY ST",100800,6,0,2,0,"05/31/1967",NA,NA,NA,NA,NA,NA,NA,NA,1910,1980,78,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.11,"RM2","1600",0,41.31916557,-72.93826636
18188,"131 COUNTY ST",108500,6,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,2788,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.319240945,-72.938229545
18189,"135 COUNTY ST",76300,4,0,2,0,"03/09/2015",90000,"11/17/2014",0,"04/09/2013",41000,"12/27/2011",62692,"09/02/2009",1900,1756,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.11,"RM2","1600",0,41.31931856,-72.938199145
18190,"141 COUNTY ST",86600,6,0,3,105000,"04/25/2013",0,"02/01/2013",70125,"12/13/2012",0,"08/29/2012",0,"06/25/2008",1900,2085,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.31940527,-72.938156835
18191,"143 COUNTY ST",72900,6,0,2,175128,"10/13/2006",0,"07/19/2005",0,"06/01/2005",0,"10/08/2003",40000,"07/24/2003",1900,1690,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.11,"RM2","1600",0,41.319490705,-72.93811961
18192,"145 COUNTY ST",86300,3,0,1.5,85900,"10/15/2012",0,"10/15/2012",0,"01/26/2010",30750,"08/18/2009",0,"08/18/2009",1911,1188,68,"Colonial","Single Family","Average",1,"None","Average","Average",0.11,"RM2","1600",0,41.319530765,-72.93810412
18199,"170 HENRY ST #1",90600,4,0,2,0,"10/31/1997",0,"07/29/1996",125000,"04/23/1990",NA,NA,NA,NA,1990,1968,93,"Condominium","Res Condo","Above Average",1,"None","Average","Average",0,"RM2","1600",0,41.320998485,-72.936557775
18200,"174 HENRY ST #2",154700,4,0,2,125000,"07/20/1990",NA,NA,NA,NA,NA,NA,NA,NA,1990,1968,93,"Condominium","Res Condo","Above Average",1,"None","Average","Average",0,"RM2","1600",0,41.32095399,-72.936554
18201,"178 HENRY ST #3",90600,4,0,2,0,"07/05/2007",0,"07/27/1990",NA,NA,NA,NA,NA,NA,1990,1968,93,"Condominium","Res Condo","Above Average",2,"None","Average","Average",0,"RM2","1600",0,41.32097195,-72.93687851
18202,"182 HENRY ST #4",90600,4,0,2,0,"05/27/2014",14000,"05/01/2014",56000,"04/05/2011",0,"01/25/2006",38000,"09/07/1995",1990,1968,93,"Condominium","Res Condo","Above Average",2,"None","Average","Average",0,"RM2","1600",0,41.32105346,-72.936847975
18203,"186 HENRY ST #5",90600,4,0,2,0,"03/12/2007",0,"07/20/1990",NA,NA,NA,NA,NA,NA,1990,1968,93,"Condominium","Res Condo","Above Average",1,"None","Average","Average",0,"RM2","1600",0,41.32107545,-72.936942605
18204,"190 HENRY ST #6",94300,4,0,2,125000,"04/29/1992",NA,NA,NA,NA,NA,NA,NA,NA,1990,1968,93,"Condominium","Res Condo","Above Average",1,"Central","Average","Average",0,"RM2","1600",0,41.321089615,-72.937032815
18205,"194 HENRY ST #7",90600,4,0,2,165000,"05/25/2005",78000,"04/09/2002",0,"10/27/2000",125000,"04/27/1990",NA,NA,1990,1968,93,"Condominium","Res Condo","Above Average",1,"None","Average","Average",0,"RM2","1600",0,41.32111152,-72.93708
18206,"198 HENRY ST #8",90600,4,0,2,182000,"07/03/2006",26125,"02/01/2005",125000,"05/21/1990",NA,NA,NA,NA,1990,1968,93,"Condominium","Res Condo","Above Average",1,"None","Average","Average",0,"RM2","1600",0,41.321126765,-72.93718
18207,"199 COUNTY ST #9",95700,5,0,2,125000,"03/28/1990",125000,"03/28/1990",NA,NA,NA,NA,NA,NA,1990,2120,93,"Condominium","Res Condo","Above Average",2,"None","Average","Average",0,"RM2","1600",0,41.32033954,-72.93787517
18218,"734 ORCHARD ST",136100,9,1,3,59000,"08/14/2014",0,"06/20/2014",0,"06/20/2014",0,"08/09/2004",54000,"07/08/2003",1900,3547,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.320583,-72.93618
18219,"730 ORCHARD ST",105900,8,0,3,235000,"05/25/2007",174500,"06/24/2005",0,"12/28/2004",240000,"08/27/2003",0,"08/27/2003",1900,2531,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.320488,-72.936226
