"pid","location","totval"
583,"255 FORT HALE RD",202900
584,"267 FORT HALE RD",239400
585,"287 FORT HALE RD",243000
586,"303 FORT HALE RD",191300
587,"315 FORT HALE RD",6700
588,"325 FORT HALE RD",260100
589,"339 FORT HALE RD",130500
590,"355 FORT HALE RD",167500
591,"369 FORT HALE RD",253500
592,"387 FORT HALE RD",226500
593,"405 FORT HALE RD",167100
594,"425 FORT HALE RD",166900
595,"136 HYDE ST",171600
596,"130 HYDE ST",178500
597,"126 HYDE ST",197700
598,"120 HYDE ST",234600
599,"116 HYDE ST",195500
600,"108 HYDE ST",235600
601,"76 STUYVESANT AV",158300
602,NA,NA
603,"72 STUYVESANT AV",166100
604,"68 STUYVESANT AV",157900
605,"62 STUYVESANT AV",184400
606,"58 STUYVESANT AV",197400
607,"52 STUYVESANT AV",234800
608,"48 STUYVESANT AV",209500
609,"42 STUYVESANT AV",233200
610,"38 STUYVESANT AV",195500
611,"30 STUYVESANT AV",252800
612,"16 STUYVESANT AV",267200
613,"14 STUYVESANT AV",159800
614,"511 TOWNSEND AV",240200
615,"519 TOWNSEND AV",153500
616,"523 TOWNSEND AV",169500
617,"527 TOWNSEND AV",255700
618,"535 TOWNSEND AV",216700
619,"541 TOWNSEND AV",188500
620,"551 TOWNSEND AV",313400
621,"555 TOWNSEND AV",220000
622,"73 HYDE ST",159700
623,"77 HYDE ST",159600
624,"81 HYDE ST",161000
625,"85 HYDE ST",157900
626,"91 HYDE ST",161500
627,"97 HYDE ST",166100
628,"111 STUYVESANT AV",163000
629,"121 STUYVESANT AV",262300
630,"14 STEWART ST",142600
631,"STEWART ST",4800
632,"112 GIRARD AV",200100
633,"104 GIRARD AV",186700
634,"5 STEWART ST",188600
635,"21 STEWART ST",197800
636,"137 STUYVESANT AV",189500
637,"143 STUYVESANT AV",168200
638,"145 STUYVESANT AV",216300
639,"204 BURR ST",133900
640,"174 BURR ST",162400
641,"140 GIRARD AV",107400
642,"132 GIRARD AV",151700
643,"105 HYDE ST",168800
644,"109 HYDE ST",156200
645,"115 HYDE ST",127900
646,"121 HYDE ST",190800
647,"127 HYDE ST",160600
648,"133 HYDE ST",165500
649,"141 HYDE ST",183500
650,"471 FORT HALE RD",156300
651,"FORT HALE RD",39100
652,NA,NA
653,"487 FORT HALE RD",155000
654,"495 FORT HALE RD",183700
655,"54 STEWART ST",206200
656,"50 STEWART ST",175000
657,"44 STEWART ST",193000
658,"120 STUYVESANT AV",215700
659,"35 STEWART ST",209700
660,"41 STEWART ST",202200
661,"43 STEWART ST",203200
662,"49 STEWART ST",147700
663,"57 STEWART ST",222500
664,"515 FORT HALE RD",218000
665,"535 FORT HALE RD",184800
666,"555 FORT HALE RD",205500
667,"569 FORT HALE RD",201800
668,"585 FORT HALE RD",163300
669,"230 BURR ST",167200
670,"226 BURR ST",149200
671,"220 BURR ST",120800
672,"210 BURR ST",112700
673,"150 STUYVESANT AV",150200
674,"146 STUYVESANT AV",167200
675,"151 HYDE ST",187300
676,"159 HYDE ST",161300
677,"165 HYDE ST",209000
678,"119 HALL ST",196100
679,"129 HALL ST",190400
680,"137 HALL ST",202500
681,"145 HALL ST",183300
682,"151 HALL ST",212800
683,"155 HALL ST",165500
684,"159 HALL ST",228700
685,"163 HALL ST",172400
686,"175 HALL ST",175700
687,"274 BURR ST",124600
688,"266 BURR ST",123400
689,"258 BURR ST",125300
690,"250 BURR ST",126400
691,"570 FORT HALE RD",157500
692,"550 FORT HALE RD",284400
693,"540 FORT HALE RD",167300
694,"530 FORT HALE RD",136500
695,"520 FORT HALE RD",165300
696,"510 FORT HALE RD",156000
697,"488 FORT HALE RD",182500
698,"478 FORT HALE RD",162800
699,"468 FORT HALE RD",132600
700,"120 HALL ST",196400
701,"203 HYDE ST",181900
702,"211 HYDE ST",209700
703,"296 BURR ST",222400
704,"292 BURR ST",181200
705,"286 BURR ST",191000
706,"180 HALL ST",194000
707,"HALL ST",6200
708,"174 HALL ST",201700
709,"180 TOWNSEND TER",290700
710,"166 HALL ST",168600
711,"158 HALL ST",185100
712,"177 TOWNSEND TER",216700
713,"148 HALL ST",274400
714,"136 HALL ST",237400
715,"130 HALL ST",158000
716,"351 CONCORD ST",130100
717,"87 BURR ST",144500
718,"97 BURR ST",123400
719,"103 BURR ST",160000
720,"109 BURR ST",142300
721,"1850 DEAN ST",207800
722,"1840 DEAN ST",137200
723,"1836 DEAN ST",165100
724,"1832 DEAN ST",115600
725,"1820 DEAN ST",112900
726,"40 ELMER ST",142900
727,"34 ELMER ST",178900
728,"30 ELMER ST",163700
729,"24 ELMER ST",180600
730,"20 ELMER ST",152500
731,"4 ELMER ST",171700
732,"327 CONCORD ST",139700
733,"331 CONCORD ST",161800
734,"337 CONCORD ST",155900
735,"341 CONCORD ST",214500
736,"349 CONCORD ST",167100
737,"BURR ST",5000
738,"421 TOWNSEND AV",161600
739,"385 TOWNSEND AV",4355273
740,"CONCORD ST",60900
741,"398 CONCORD ST",299700
742,"396 CONCORD ST",199600
743,"388 CONCORD ST",156900
744,"66 BURR ST",183100
745,"54 BURR ST",211300
746,"60 BURR ST",221900
747,"44 BURR ST",177900
748,"34 BURR ST",154700
749,"431 TOWNSEND AV",162900
750,"439 TOWNSEND AV",146600
751,"15 LEY ST",131000
752,"19 LEY ST",132900
753,"25 LEY ST",197300
754,"31 LEY ST",150200
755,"37 LEY ST",196000
756,"45 LEY ST",195400
757,"51 LEY ST",163300
758,"57 LEY ST",193600
759,"63 LEY ST",192800
760,"71 LEY ST",149600
761,"77 LEY ST",152000
762,"81 LEY ST",199000
763,"89 LEY ST",149300
764,"95 LEY ST",168100
765,"110 BURR ST",167100
766,"106 BURR ST",168500
767,"104 BURR ST",193400
768,"100 BURR ST",202800
769,"375 CONCORD ST",202900
770,"383 CONCORD ST",204700
771,"473 TOWNSEND AV",304600
772,"17 GIRARD AV",224600
773,"23 GIRARD AV",141800
774,"27 GIRARD AV",176100
775,"33 GIRARD AV",173300
776,"35 GIRARD AV",191100
777,"37 GIRARD AV",187000
778,"47 GIRARD AV",173800
779,"51 GIRARD AV",180300
780,"57 GIRARD AV",159400
781,"GIRARD AV",2700
782,"63 GIRARD AV",221900
783,"69 GIRARD AV",169000
784,"75 GIRARD AV",165500
785,"79 GIRARD AV",198300
786,"89 GIRARD AV",176700
787,"95 GIRARD AV",166200
788,"99 GIRARD AV",185600
789,"105 GIRARD AV",149400
790,"115 GIRARD AV",157300
791,"119 GIRARD AV",148900
792,"125 GIRARD AV",118100
793,"133 GIRARD AV",133900
794,"118 BURR ST",76900
795,"100 LEY ST",174400
796,"94 LEY ST",167100
797,"90 LEY ST",187700
798,"78 LEY ST",207300
799,"74 LEY ST",289800
800,"70 LEY ST",154400
801,"68 LEY ST",161800
802,"64 LEY ST",151300
803,"54 LEY ST",168200
804,"48 LEY ST",182900
805,"42 LEY ST",199000
806,"38 LEY ST",189200
807,"34 LEY ST",127700
808,"26 LEY ST",126800
809,"24 LEY ST",176900
810,"20 LEY ST",147500
811,"445 TOWNSEND AV",182300
812,"449 TOWNSEND AV",182900
813,"455 TOWNSEND AV",213500
814,"461 TOWNSEND AV",140600
815,"155 BURR ST",37440600
816,"257 CONCORD ST",112300
817,"15 ALFRED ST",222800
818,"19 ALFRED ST",173900
819,"23 ALFRED ST",171100
820,"29 ALFRED ST",160000
821,"37 ALFRED ST",115000
822,"ALFRED ST",55000
823,"47 ALFRED ST",146400
824,"50 NELSON ST",143900
825,"44 NELSON ST",137000
826,"40 NELSON ST",161500
827,"30 NELSON ST",161300
828,"26 NELSON ST",171400
