"totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
98700,6,0,3,0,"06/27/2008",0,"06/27/2008",190000,"01/18/2006",0,"05/11/2004",0,"04/23/1996",1900,3425,55,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.1,"RM2","0900",0,41.311474,-72.8977935266667
94200,5,0,2.5,0,"12/13/2010",95000,"12/13/2010",0,"08/30/2010",0,"08/30/2010",265000,"03/14/2007",1920,2417,68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.08,"RM2","1600",0,41.3178977933333,-72.94296
131800,2,0,1.5,125000,"06/15/2004",0,"05/19/2004",0,"01/30/2002",65000,"07/11/2001",55000,"05/03/2000",1987,977,88,"Condominium","Res Condo","Above Average",1,"None","Average","Average",0,"RS2","0200",0,41.28040083,-72.8980842766667
64500,2,0,1,80000,"01/31/1992",NA,NA,NA,NA,NA,NA,NA,NA,1890,770,68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.17,"RM1","0900",0,41.32137,-72.8995775566667
155100,3,0,1,109000,"05/01/2000",0,"06/15/1994",NA,NA,NA,NA,NA,NA,1960,1200,72,"Ranch","Single Family","Average",1,"None","Average","Average",0.77,"RS2","0600",450,41.30742599,-72.8766297666667
158700,3,0,1.5,122000,"05/01/2002",0,"10/11/2001",0,NA,NA,NA,NA,NA,1930,1316,68,"Colonial","Single Family","Ave/Good",1,"Central","Average","Average",0.14,"RS2","1700",256,41.32327066,-72.94744
586900,5,0,2,0,"08/01/1967",NA,NA,NA,NA,NA,NA,NA,NA,1902,3074,68,"Colonial","Single Family","Very Good",1,"Central","Average","Average",0.32,"RS1","1500",0,41.32966414,-72.9159578433333
77700,4,0,2.5,0,"11/18/1983",NA,NA,NA,NA,NA,NA,NA,NA,1940,1728,68,"2 Family","Multi-Fam 2-4","Below Average",2,"None","Average","Average",0.17,"RM1","2600",0,41.333084,-72.96716
155000,3,0,1.5,154000,"06/17/2013",0,NA,NA,NA,NA,NA,NA,NA,1915,1316,78,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.05,"RM1","0500",0,41.30699254,-72.8856507433333
113200,3,0,1,35000,"08/11/1999",NA,NA,NA,NA,NA,NA,NA,NA,1890,886,68,"Colonial","Single Family","Average",1,"None","Average","Average",0.06,"RM1","2100",0,41.283947,-72.93106525
