"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Semifinal","FECK Stephan","GER","15",1,"3.0","7.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","FECK Stephan","GER","15",1,"3.0","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","FECK Stephan","GER","15",2,"3.1","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","FECK Stephan","GER","15",2,"3.1","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","FECK Stephan","GER","15",2,"3.1","8.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","FECK Stephan","GER","15",2,"3.1","8.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","FECK Stephan","GER","15",2,"3.1","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","FECK Stephan","GER","15",2,"3.1","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","FECK Stephan","GER","15",2,"3.1","7.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","FECK Stephan","GER","15",3,"3.4","7.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","FECK Stephan","GER","15",3,"3.4","6.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","FECK Stephan","GER","15",3,"3.4","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","FECK Stephan","GER","15",3,"3.4","7.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","FECK Stephan","GER","15",3,"3.4","7.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","FECK Stephan","GER","15",3,"3.4","7.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","FECK Stephan","GER","15",3,"3.4","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","FECK Stephan","GER","15",4,"3.0","7.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","FECK Stephan","GER","15",4,"3.0","6.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","FECK Stephan","GER","15",4,"3.0","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","FECK Stephan","GER","15",4,"3.0","6.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","FECK Stephan","GER","15",4,"3.0","6.5","LATIMER Simon James","NZL"
