"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,6,3.4,8,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,6,3.4,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,6,3.4,8,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,6,3.4,8,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,6,3.4,7.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,6,3.4,8,"ITO Masaaki","JPN"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,6,3.4,7.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,1,3,8.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,1,3,8,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,1,3,8.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,1,3,8.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,1,3,8,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,1,3,9,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,1,3,8.5,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,2,3.3,6.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,2,3.3,7,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,2,3.3,6.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,2,3.3,6,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,2,3.3,7,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,2,3.3,7,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,2,3.3,7.5,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,3,3,7.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,3,3,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,3,3,8,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,3,3,8,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,3,3,7,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,3,3,8,"ITO Masaaki","JPN"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,3,3,8,"MANZONI Renato","ITA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,4,3.5,8.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,4,3.5,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,4,3.5,8.5,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,4,3.5,8.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,4,3.5,9,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,4,3.5,9,"ITO Masaaki","JPN"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,4,3.5,9,"MANZONI Renato","ITA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,5,3.1,8,"BRUN Aristid","AUS"
