"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",4,"3.0","6.5","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",4,"3.0","7.0","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",4,"3.0","7.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",4,"3.0","7.0","LATIMER Simon James","NZL"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",4,"3.0","7.0","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",5,"3.0","7.5","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",5,"3.0","8.0","PACHECO Caroline","PUR"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",5,"3.0","7.5","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",5,"3.0","7.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",5,"3.0","8.5","SAGE Christopher","GBR"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",5,"3.0","8.0","LATIMER Simon James","NZL"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",5,"3.0","7.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",1,"2.7","7.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",1,"2.7","7.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",1,"2.7","7.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",1,"2.7","7.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",1,"2.7","7.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",1,"2.7","7.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",1,"2.7","6.5","ROCHA Sergio",NA
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",2,"3.1","7.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",2,"3.1","8.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",2,"3.1","7.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",2,"3.1","7.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",2,"3.1","7.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",2,"3.1","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",2,"3.1","7.5","ROCHA Sergio",NA
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",3,"3.0","7.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",3,"3.0","7.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",3,"3.0","7.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",3,"3.0","7.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",3,"3.0","6.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",3,"3.0","7.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",3,"3.0","7.0","ROCHA Sergio",NA
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",4,"3.0","7.5","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",4,"3.0","8.0","PACHECO Caroline","PUR"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",4,"3.0","7.5","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",4,"3.0","7.0","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",4,"3.0","8.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",4,"3.0","7.5","LATIMER Simon James","NZL"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",4,"3.0","7.0","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",5,"3.0","7.5","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",5,"3.0","7.5","PACHECO Caroline","PUR"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",5,"3.0","7.5","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",5,"3.0","7.0","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",5,"3.0","8.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",5,"3.0","7.5","LATIMER Simon James","NZL"
"W3mSB","Preliminary","SUBSCHINSKI Nora","GER","6",5,"3.0","7.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",1,"2.7","8.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",1,"2.7","7.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",1,"2.7","8.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",1,"2.7","8.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",1,"2.7","8.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",1,"2.7","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",1,"2.7","8.0","ROCHA Sergio",NA
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",2,"2.8","7.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",2,"2.8","7.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",2,"2.8","6.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",2,"2.8","6.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",2,"2.8","6.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",2,"2.8","6.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",2,"2.8","6.5","ROCHA Sergio",NA
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",3,"3.0","8.0","BARBOSA Ana Virginia","BRA"
