"pid","location","lat","lon"
15360,NA,40.6004643,-73.752093
15361,"258 COLUMBUS AV",41.297641,-72.933391
15362,"250 COLUMBUS AV",41.297781,-72.93325
15363,"248 COLUMBUS AV",41.297804,-72.933106
15364,"264 HALLOCK AV",41.290124,-72.931078
15365,"262 HALLOCK AV",41.2900286,-72.9309924
15366,"258 HALLOCK AV",41.289977,-72.9308835
15367,"252 HALLOCK AV",41.2899087,-72.9308789
15368,"250 HALLOCK AV",41.2897993,-72.9308231
15369,"246 HALLOCK AV",41.289702,-72.9307923
15370,"242 HALLOCK AV",41.289595,-72.9307247
15371,"240 HALLOCK AV",41.2894604,-72.9307608
15372,"33 SECOND ST",41.3433051,-72.9360602
15373,"39 SECOND ST",41.343402,-72.936275
15374,"45 SECOND ST",41.3433646,-72.9364395
15375,"51 SECOND ST",41.3432036,-72.936713
15376,"57 SECOND ST",41.3432105,-72.9369209
15377,"297 HOWARD AV",41.28937,-72.9315741
15378,"301 HOWARD AV",41.2894632,-72.9315808
15379,"305 HOWARD AV",41.289564,-72.931486
15380,"309 HOWARD AV",41.2896381,-72.9316327
15381,"313 HOWARD AV",41.2897708,-72.9316502
15382,"317 HOWARD AV",41.2898897,-72.9316854
15383,"323 HOWARD AV",41.290043,-72.9316586
15384,"FIRST ST",41.3425208,-72.9375462
15385,"322 HOWARD AV",41.2898969,-72.9324534
15386,"318 HOWARD AV",41.2897851,-72.9323877
15387,"314 HOWARD AV",41.2896644,-72.9323575
15388,"310 HOWARD AV",41.2895583,-72.9323485
15389,"306 HOWARD AV",41.2894764,-72.932316
15390,"302 HOWARD AV",41.2893709,-72.9322898
15391,"300 HOWARD AV",41.2892625,-72.9322411
15392,"294 HOWARD AV",41.2891465,-72.9321681
15393,"288 HOWARD AV",41.2889965,-72.9321299
15394,"75 SECOND ST",41.3433832,-72.9373202
15395,"375 GREENWICH AV",41.2888519,-72.9328994
15396,"383 GREENWICH AV",41.2889528,-72.9329243
15397,"391 GREENWICH AV",41.2890222,-72.9329802
15398,"393 GREENWICH AV",41.2890898,-72.9329907
15399,"397 GREENWICH AV",41.2891687,-72.9330251
15400,"401 GREENWICH AV",41.2892731,-72.9330108
15401,"405 GREENWICH AV",41.289345,-72.9330754
15402,"409 GREENWICH AV",41.2894166,-72.9330871
15403,"415 GREENWICH AV",41.2894875,-72.9330796
15404,"417 GREENWICH AV",41.2895582,-72.9330977
15405,"421 GREENWICH AV",41.28964,-72.93313
15406,"425 GREENWICH AV",41.2897269,-72.9332042
15407,"431 GREENWICH AV",41.2898179,-72.933178
15408,"82 FIRST ST",41.3425172,-72.9379028
15409,"80 FIRST ST",41.3424428,-72.9378204
15410,"78 FIRST ST",41.34244,-72.937788
15411,"20 LAMBERTON ST",41.2913565,-72.9312159
15412,"300 HALLOCK AV",41.291218,-72.931179
15413,"HALLOCK AV",41.2872009,-72.9298311
15414,"296 HALLOCK AV",41.2909905,-72.9311469
15415,"290 HALLOCK AV",41.2908628,-72.9311215
15416,"288 HALLOCK AV",41.2907741,-72.9311075
15417,"284 HALLOCK AV",41.2906659,-72.9310655
15418,"282 HALLOCK AV",41.290577,-72.931109
15419,"280 HALLOCK AV",41.290505,-72.931088
15420,"278 HALLOCK AV",41.2904406,-72.9310206
15421,"276 HALLOCK AV",41.290363,-72.931048
15422,"41 FIRST ST",41.3425009,-72.9364231
15423,"FIRST ST",41.3425208,-72.9375462
15424,"333 HOWARD AV",41.2903099,-72.9317676
15425,"337 HOWARD AV",41.290452,-72.9318455
15426,"341 HOWARD AV",41.2905454,-72.931891
15427,"345 HOWARD AV",41.2906383,-72.9318879
15428,"349 HOWARD AV",41.2907271,-72.9319254
15429,"353 HOWARD AV",41.290828,-72.931842
15430,"357 HOWARD AV",41.2909044,-72.9319759
15431,"361 HOWARD AV",41.2909928,-72.9319863
15432,"365 HOWARD AV",41.2910899,-72.932015
15433,"367 HOWARD AV",41.2912285,-72.9320638
15434,"32 LAMBERTON ST",41.291259,-72.9317353
15435,"30 LAMBERTON ST",41.2912948,-72.9316059
15436,"26 LAMBERTON ST",41.2913177,-72.9314802
15437,"22 LAMBERTON ST",41.2913343,-72.9313464
15438,"368 HOWARD AV",41.291127,-72.932688
15439,"364 HOWARD AV",41.2910099,-72.9327188
15440,"360 HOWARD AV",41.2908753,-72.9327061
15441,"356 HOWARD AV",41.290782,-72.9326556
15442,"352 HOWARD AV",41.2906788,-72.9326416
15443,"348 HOWARD AV",41.2905682,-72.9325731
15444,"344 HOWARD AV",41.290471,-72.9325842
15445,"340 HOWARD AV",41.2903426,-72.9325342
15446,"332 HOWARD AV",41.290184,-72.932524
15447,"77 FIRST ST",41.3425384,-72.937664
15448,"79 FIRST ST",41.3426812,-72.9377365
15449,NA,40.6004643,-73.752093
15450,"445 GREENWICH AV",41.290135,-72.933266
15451,"451 GREENWICH AV",41.2902242,-72.9332751
15452,"455 GREENWICH AV",41.290355,-72.933196
15453,"459 GREENWICH AV",41.2904521,-72.9333237
15454,"467 GREENWICH AV",41.290566,-72.9333801
15455,"54 KIMBERLY AV",41.290678,-72.933262
15456,"48 KIMBERLY AV",41.2907585,-72.9333419
15457,"42 KIMBERLY AV",41.2908498,-72.9332675
15458,"34 KIMBERLY AV",41.2910399,-72.9331719
15459,"58 LAMBERTON ST",41.2911033,-72.9330188
15460,"KIMBERLY AV",41.2868167,-72.935845
15461,"28 CEDAR ST",41.2923392,-72.9307015
15462,"26 CEDAR ST",41.2922685,-72.930659
15463,"24 CEDAR ST",41.2921759,-72.9306182
15464,"4 CEDAR ST",41.2918065,-72.9305102
15465,"8 CEDAR ST",41.2919478,-72.9305834
15466,"14 CEDAR ST",41.2920841,-72.9306157
15467,"11 LAMBERTON ST",41.291822,-72.9308639
15468,"15 LAMBERTON ST",41.2917912,-72.9310115
15469,"17 LAMBERTON ST",41.291812,-72.931177
15470,"19 LAMBERTON ST",41.291735,-72.93132
15471,"23 LAMBERTON ST",41.2917191,-72.9315017
15472,"29 LAMBERTON ST",41.2916886,-72.9316858
15473,"375 HOWARD AV",41.291597,-72.9321653
15474,"387 HOWARD AV",41.2917661,-72.9322121
15475,"391 HOWARD AV",41.2918556,-72.9322556
15476,"395 HOWARD AV",41.2919752,-72.9322525
15477,"399 HOWARD AV",41.2920707,-72.9323435
15478,"40 CASSIUS ST",41.2921457,-72.932149
15479,"38 CASSIUS ST",41.2920698,-72.9319587
15480,"34 CASSIUS ST",41.2921067,-72.931852
15481,"28 CASSIUS ST",41.2921225,-72.9316738
15482,"24 CASSIUS ST",41.2921506,-72.9315382
15483,"20 CASSIUS ST",41.2921657,-72.9313909
