"pid","location","lat","lon"
397,"160 HUNTINGTON RD",NA,NA
398,"HOPKINS DR",NA,NA
399,"3 HOPKINS DR",NA,NA
400,"5 HOPKINS DR",NA,NA
401,"15 HOPKINS DR",NA,NA
402,"19 HOPKINS DR",NA,NA
403,"25 HOPKINS DR",NA,NA
404,"39 HOPKINS DR",NA,NA
405,"873 TOWNSEND AV",NA,NA
406,"131 UPSON TER",NA,NA
407,"20 LEROY TER",NA,NA
408,"16 LEROY TER",NA,NA
409,"60 SOUND VIEW TER",NA,NA
410,"44 SOUND VIEW TER",NA,NA
411,"30 SOUND VIEW TER",NA,NA
412,"835 TOWNSEND AV",NA,NA
413,"845 TOWNSEND AV",NA,NA
414,"853 TOWNSEND AV",NA,NA
415,"LEROY TER",NA,NA
416,"155 UPSON TER",NA,NA
417,"165 UPSON TER",NA,NA
418,"175 UPSON TER",NA,NA
419,"185 UPSON TER",NA,NA
420,"195 UPSON TER",NA,NA
421,"205 UPSON TER",NA,NA
422,"215 UPSON TER",NA,NA
423,"140 SOUND VIEW TER",NA,NA
424,"70 HORSLEY AV",NA,NA
425,"136 SOUND VIEW TER",NA,NA
426,"126 SOUND VIEW TER",NA,NA
427,"114 SOUND VIEW TER",NA,NA
428,"104 SOUND VIEW TER",NA,NA
429,"92 SOUND VIEW TER",NA,NA
430,"80 SOUND VIEW TER",NA,NA
431,"15 LEROY TER",NA,NA
432,"773 TOWNSEND AV",NA,NA
433,"105 TUTTLE DR",NA,NA
434,"115 TUTTLE DR",NA,NA
435,"123 TUTTLE DR",NA,NA
436,"129 TUTTLE DR",NA,NA
437,"139 TUTTLE DR",NA,NA
438,"147 TUTTLE DR",NA,NA
439,"155 TUTTLE DR",NA,NA
440,"167 TUTTLE DR",NA,NA
441,"171 TUTTLE DR",NA,NA
442,"110 TOWNSEND TER",NA,NA
443,"102 TOWNSEND TER",NA,NA
444,"96 TOWNSEND TER",NA,NA
445,"88 TOWNSEND TER",NA,NA
446,"84 TOWNSEND TER",NA,NA
447,"80 TOWNSEND TER",NA,NA
448,"72 TOWNSEND TER",NA,NA
449,"66 TOWNSEND TER",NA,NA
450,"60 TOWNSEND TER",NA,NA
451,"52 TOWNSEND TER",NA,NA
452,"46 TOWNSEND TER",NA,NA
453,"38 TOWNSEND TER",NA,NA
454,"30 TOWNSEND TER",NA,NA
455,"22 TOWNSEND TER",NA,NA
456,"663 TOWNSEND AV",NA,NA
457,"701 TOWNSEND AV",NA,NA
458,"TOWNSEND AV",NA,NA
459,"709 TOWNSEND AV",NA,NA
460,"725 TOWNSEND AV",NA,NA
461,"745 TOWNSEND AV",NA,NA
462,"757 TOWNSEND AV",NA,NA
463,"765 TOWNSEND AV",NA,NA
464,"601 TOWNSEND AV",NA,NA
465,"23 HALL ST",NA,NA
466,"27 HALL ST",NA,NA
467,"33 HALL ST",NA,NA
468,"41 HALL ST",NA,NA
469,"47 HALL ST",NA,NA
470,"55 HALL ST",NA,NA
471,"61 HALL ST",NA,NA
472,"65 HALL ST",NA,NA
473,"71 HALL ST",NA,NA
474,"77 HALL ST",NA,NA
475,"83 HALL ST",NA,NA
476,"89 HALL ST",NA,NA
477,"95 HALL ST",NA,NA
478,"103 HALL ST",NA,NA
479,"105 HALL ST",NA,NA
480,"424 FORT HALE RD",NA,NA
481,"408 FORT HALE RD",NA,NA
482,"400 FORT HALE RD",NA,NA
483,"386 FORT HALE RD",NA,NA
484,"368 FORT HALE RD",NA,NA
485,"FORT HALE RD",NA,NA
486,"350 FORT HALE RD",NA,NA
487,"340 FORT HALE RD",NA,NA
488,"330 FORT HALE RD",NA,NA
489,"320 FORT HALE RD",NA,NA
490,"306 FORT HALE RD",NA,NA
491,"294 FORT HALE RD",NA,NA
492,"280 FORT HALE RD",NA,NA
493,"270 FORT HALE RD",NA,NA
494,"260 FORT HALE RD",NA,NA
495,"581 TOWNSEND AV",NA,NA
496,"591 TOWNSEND AV",NA,NA
497,"106 HALL ST",NA,NA
498,"100 HALL ST",NA,NA
499,"94 HALL ST",NA,NA
500,"88 HALL ST",NA,NA
501,"82 HALL ST",NA,NA
502,"76 HALL ST",NA,NA
503,"72 HALL ST",NA,NA
504,"66 HALL ST",NA,NA
505,"60 HALL ST",NA,NA
506,"54 HALL ST",NA,NA
507,"46 HALL ST",NA,NA
508,"40 HALL ST",NA,NA
509,"34 HALL ST",NA,NA
510,"28 HALL ST",NA,NA
511,"22 HALL ST",NA,NA
512,"HALL ST",NA,NA
513,"8 HALL ST",NA,NA
514,"621 TOWNSEND AV",NA,NA
515,"635 TOWNSEND AV",NA,NA
516,"641 TOWNSEND AV",NA,NA
517,"49 TOWNSEND TER",NA,NA
518,"645 TOWNSEND AV",NA,NA
519,"655 TOWNSEND AV",NA,NA
520,"25 TOWNSEND TER",NA,NA
521,"33 TOWNSEND TER",NA,NA
522,"37 TOWNSEND TER",NA,NA
523,"43 TOWNSEND TER",NA,NA
524,"TOWNSEND TER",NA,NA
525,"51 TOWNSEND TER",NA,NA
526,"59 TOWNSEND TER",NA,NA
527,"65 TOWNSEND TER",NA,NA
528,"71 TOWNSEND TER",NA,NA
529,"77 TOWNSEND TER",NA,NA
530,"85 TOWNSEND TER",NA,NA
531,"91 TOWNSEND TER",NA,NA
532,"99 TOWNSEND TER",NA,NA
533,"105 TOWNSEND TER",NA,NA
534,"111 TOWNSEND TER",NA,NA
535,"220 HYDE ST",NA,NA
536,"15 TOLLI TER",NA,NA
537,"19 TOLLI TER",NA,NA
538,"27 TOLLI TER",NA,NA
539,"35 TOLLI TER",NA,NA
540,"43 TOLLI TER",NA,NA
541,"59 TOLLI TER",NA,NA
542,"52 TOLLI TER",NA,NA
543,"48 TOLLI TER",NA,NA
544,"40 TOLLI TER",NA,NA
545,"30 TOLLI TER",NA,NA
546,"20 TOLLI TER",NA,NA
547,"10 TOLLI TER",NA,NA
548,"4 TOLLI TER",NA,NA
549,"503 TOWNSEND AV",NA,NA
550,"STUYVESANT AV",NA,NA
551,"21 STUYVESANT AV",NA,NA
552,"27 STUYVESANT AV",NA,NA
553,"33 STUYVESANT AV",NA,NA
554,"41 STUYVESANT AV",NA,NA
555,"45 STUYVESANT AV",NA,NA
556,"47 STUYVESANT AV",NA,NA
557,"53 STUYVESANT AV",NA,NA
558,"57 STUYVESANT AV",NA,NA
559,"61 STUYVESANT AV",NA,NA
560,"65 STUYVESANT AV",NA,NA
561,"71 STUYVESANT AV",NA,NA
562,"75 STUYVESANT AV",NA,NA
563,"87 STUYVESANT AV",NA,NA
564,"88 HYDE ST",NA,NA
565,"82 HYDE ST",NA,NA
566,"74 HYDE ST",NA,NA
567,"76 GIRARD AV",NA,NA
568,"70 GIRARD AV",NA,NA
569,"64 GIRARD AV",NA,NA
570,"56 GIRARD AV",NA,NA
571,"52 GIRARD AV",NA,NA
572,"48 GIRARD AV",NA,NA
573,"44 GIRARD AV",NA,NA
574,"38 GIRARD AV",NA,NA
575,"32 GIRARD AV",NA,NA
576,"24 GIRARD AV",NA,NA
577,"18 GIRARD AV",NA,NA
578,"483 TOWNSEND AV",NA,NA
579,"487 TOWNSEND AV",NA,NA
580,"493 TOWNSEND AV",NA,NA
581,"497 TOWNSEND AV",NA,NA
582,"565 TOWNSEND AV",NA,NA
583,"255 FORT HALE RD",NA,NA
584,"267 FORT HALE RD",NA,NA
585,"287 FORT HALE RD",NA,NA
586,"303 FORT HALE RD",NA,NA
587,"315 FORT HALE RD",NA,NA
588,"325 FORT HALE RD",NA,NA
589,"339 FORT HALE RD",NA,NA
590,"355 FORT HALE RD",NA,NA
591,"369 FORT HALE RD",NA,NA
592,"387 FORT HALE RD",NA,NA
593,"405 FORT HALE RD",NA,NA
594,"425 FORT HALE RD",NA,NA
595,"136 HYDE ST",NA,NA
596,"130 HYDE ST",NA,NA
597,"126 HYDE ST",NA,NA
598,"120 HYDE ST",NA,NA
599,"116 HYDE ST",NA,NA
600,"108 HYDE ST",NA,NA
601,"76 STUYVESANT AV",NA,NA
602,NA,NA,NA
603,"72 STUYVESANT AV",NA,NA
604,"68 STUYVESANT AV",NA,NA
605,"62 STUYVESANT AV",NA,NA
606,"58 STUYVESANT AV",NA,NA
607,"52 STUYVESANT AV",NA,NA
608,"48 STUYVESANT AV",NA,NA
609,"42 STUYVESANT AV",NA,NA
610,"38 STUYVESANT AV",NA,NA
611,"30 STUYVESANT AV",NA,NA
612,"16 STUYVESANT AV",NA,NA
613,"14 STUYVESANT AV",NA,NA
614,"511 TOWNSEND AV",NA,NA
615,"519 TOWNSEND AV",NA,NA
616,"523 TOWNSEND AV",NA,NA
617,"527 TOWNSEND AV",NA,NA
618,"535 TOWNSEND AV",NA,NA
619,"541 TOWNSEND AV",NA,NA
620,"551 TOWNSEND AV",NA,NA
621,"555 TOWNSEND AV",NA,NA
622,"73 HYDE ST",NA,NA
623,"77 HYDE ST",NA,NA
624,"81 HYDE ST",NA,NA
625,"85 HYDE ST",NA,NA
626,"91 HYDE ST",NA,NA
627,"97 HYDE ST",NA,NA
628,"111 STUYVESANT AV",NA,NA
629,"121 STUYVESANT AV",NA,NA
630,"14 STEWART ST",NA,NA
631,"STEWART ST",NA,NA
632,"112 GIRARD AV",NA,NA
633,"104 GIRARD AV",NA,NA
634,"5 STEWART ST",NA,NA
635,"21 STEWART ST",NA,NA
636,"137 STUYVESANT AV",NA,NA
637,"143 STUYVESANT AV",NA,NA
638,"145 STUYVESANT AV",NA,NA
639,"204 BURR ST",NA,NA
640,"174 BURR ST",NA,NA
641,"140 GIRARD AV",NA,NA
642,"132 GIRARD AV",NA,NA
643,"105 HYDE ST",NA,NA
644,"109 HYDE ST",NA,NA
645,"115 HYDE ST",NA,NA
646,"121 HYDE ST",NA,NA
