"pid","location","latitude","longitude"
277,"44 ELIZABETH ANN DR",41.280422,-72.88905
278,"52 ELIZABETH ANN DR",41.280285,-72.889046
279,"56 ELIZABETH ANN DR",41.280216,-72.889046
280,"60 ELIZABETH ANN DR",41.280148,-72.88904
281,"66 ELIZABETH ANN DR",41.280045,-72.88904
282,"CHARTER OAK AV",NA,NA
283,"CHARTER OAK AV",NA,NA
284,"CHARTER OAK AV",NA,NA
285,"CHARTER OAK AV",NA,NA
286,"CHARTER OAK AV",NA,NA
287,"CHARTER OAK AV",NA,NA
288,"125 HUNTINGTON RD",41.27928,-72.89001
289,"CHARTER OAK AV",NA,NA
290,"CHARTER OAK AV",NA,NA
291,"4 HUGHES ST EX",NA,NA
292,"8 HUGHES ST EX",NA,NA
293,"72 ELIZABETH ANN DR",41.27994,-72.88901
294,"78 ELIZABETH ANN DR",41.279858,-72.88892
295,"84 ELIZABETH ANN DR",41.279827,-72.888794
296,"88 ELIZABETH ANN DR",41.279827,-72.8887
297,"94 ELIZABETH ANN DR",41.27983,-72.888565
298,"100 ELIZABETH ANN DR",41.279835,-72.88843
299,"104 ELIZABETH ANN DR",41.279835,-72.888336
300,"110 ELIZABETH ANN DR",41.27984,-72.8882
301,"118 ELIZABETH ANN DR",41.279938,-72.88807
302,"124 ELIZABETH ANN DR",41.280037,-72.88804
303,"132 ELIZABETH ANN DR",41.280174,-72.88805
304,"138 ELIZABETH ANN DR",41.280277,-72.88805
305,"146 ELIZABETH ANN DR",41.280415,-72.888054
306,"5 MASSACHUSETTS AV",41.28171,-72.88795
307,"11 MASSACHUSETTS AV",41.281914,-72.88777
308,"MASSACHUSETTS AV",NA,NA
309,"75 ELIZABETH ANN DR",41.279896,-72.888954
310,"55 ELIZABETH ANN DR",41.28022,-72.88903
311,"49 ELIZABETH ANN DR",41.280323,-72.88903
312,"41 ELIZABETH ANN DR",41.280457,-72.88904
313,"35 ELIZABETH ANN DR",41.2809,-72.88905
314,"29 ELIZABETH ANN DR",41.281044,-72.88905
315,"21 ELIZABETH ANN DR",41.281235,-72.88905
316,"15 ELIZABETH ANN DR",41.28138,-72.88904
317,"7 ELIZABETH ANN DR",41.28157,-72.88901
318,"CLARENDON ST",NA,NA
319,"147 ELIZABETH ANN DR",41.280426,-72.88807
320,"141 ELIZABETH ANN DR",41.280323,-72.88806
321,"131 ELIZABETH ANN DR",41.280155,-72.88806
322,"125 ELIZABETH ANN DR",41.280052,-72.888054
323,"117 ELIZABETH ANN DR",41.279926,-72.88809
324,"103 ELIZABETH ANN DR",41.279846,-72.88836
325,"109 ELIZABETH ANN DR",41.279846,-72.88822
326,"83 ELIZABETH ANN DR",41.27984,-72.88881
327,"53 HUNTINGTON RD",41.281002,-72.89004
328,"41 HUNTINGTON RD",41.28129,-72.89007
329,"37 HUNTINGTON RD",41.281384,-72.890076
330,"29 HUNTINGTON RD",41.281574,-72.89009
331,"23 HUNTINGTON RD",41.281715,-72.8901
332,NA,NA,NA
333,"87 CLARENDON ST",41.2822,-72.88974
334,"95 CLARENDON ST",41.28214,-72.88961
335,"105 CLARENDON ST",41.28197,-72.889275
336,"8 ELIZABETH ANN DR",41.281574,-72.889015
337,"18 ELIZABETH ANN DR",41.281334,-72.88906
338,"28 ELIZABETH ANN DR",41.28109,-72.88907
339,"32 ELIZABETH ANN DR",41.280994,-72.88907
340,"821 TOWNSEND AV",41.27914,-72.89535
341,"29 SOUND VIEW TER",41.279366,-72.89473
342,"39 SOUND VIEW TER",41.27935,-72.89457
343,"49 SOUND VIEW TER",41.279335,-72.89441
344,"59 SOUND VIEW TER",41.27932,-72.89425
345,"75 SOUND VIEW TER",41.279297,-72.894
346,"85 SOUND VIEW TER",41.279263,-72.89369
347,"95 SOUND VIEW TER",41.279255,-72.89359
348,"105 SOUND VIEW TER",41.279243,-72.89349
349,"115 SOUND VIEW TER",41.279232,-72.893394
350,"125 SOUND VIEW TER",41.27922,-72.893295
351,"135 SOUND VIEW TER",41.27921,-72.893196
352,"145 SOUND VIEW TER",41.2792,-72.893105
353,"4 HORSLEY AV",41.27841,-72.8926
354,"2 HORSLEY AV",41.27834,-72.89262
355,"HORSLEY AV",NA,NA
356,"TUTTLE DR",NA,NA
357,"174 TUTTLE DR",41.277714,-72.89279
358,"168 TUTTLE DR",41.277714,-72.8928
359,"160 TUTTLE DR",41.277718,-72.892815
360,"150 TUTTLE DR",41.27776,-72.893166
361,"144 TUTTLE DR",41.277775,-72.89326
362,"136 TUTTLE DR",41.27779,-72.89337
363,"128 TUTTLE DR",41.277805,-72.89349
364,"120 TUTTLE DR",41.27782,-72.893616
365,"112 TUTTLE DR",41.277836,-72.89373
366,"104 TUTTLE DR",41.27785,-72.89385
367,"785 TOWNSEND AV",41.278355,-72.89553
368,"795 TOWNSEND AV",41.278576,-72.895485
369,"801 TOWNSEND AV",41.278706,-72.895454
370,"TOWNSEND AV",NA,NA
371,"809 TOWNSEND AV",41.27888,-72.89541
372,"91 HORSLEY AV",41.279484,-72.892365
373,"265 UPSON TER",41.280025,-72.89173
374,"285 UPSON TER",41.279984,-72.89138
375,"40 HOPKINS DR",41.278954,-72.89129
376,"30 HOPKINS DR",41.278805,-72.89132
377,"22 HOPKINS DR",41.278687,-72.891335
378,"14 HOPKINS DR",41.27857,-72.89136
379,"8 HOPKINS DR",41.278477,-72.89137
380,"4 HOPKINS DR",41.278416,-72.89138
381,"HORSLEY AV",NA,NA
382,"1 HORSLEY AV",41.27834,-72.8926
383,"5 HORSLEY AV",41.27843,-72.89258
384,"11 HORSLEY AV",41.27857,-72.892555
385,"35 HORSLEY AV",41.279213,-72.89243
386,"45 HORSLEY AV",41.279263,-72.89242
387,"61 HORSLEY AV",41.27934,-72.8924
388,"75 HORSLEY AV",41.279408,-72.89239
389,"305 UPSON TER",41.279938,-72.89096
390,"335 UPSON TER",41.279915,-72.890686
391,"112 HUNTINGTON RD",41.279503,-72.89002
392,"120 HUNTINGTON RD",41.279392,-72.89002
393,"128 HUNTINGTON RD",41.27928,-72.89002
394,"136 HUNTINGTON RD",41.27917,-72.890015
395,"144 HUNTINGTON RD",41.27906,-72.890015
396,"150 HUNTINGTON RD",41.278976,-72.890015
397,"160 HUNTINGTON RD",41.27884,-72.890015
398,"HOPKINS DR",NA,NA
399,"3 HOPKINS DR",41.278416,-72.89137
400,"5 HOPKINS DR",41.278446,-72.891365
401,"15 HOPKINS DR",41.27859,-72.89134
402,"19 HOPKINS DR",41.27865,-72.89133
403,"25 HOPKINS DR",41.278736,-72.89131
404,"39 HOPKINS DR",41.278942,-72.89128
405,"873 TOWNSEND AV",41.280403,-72.89506
406,"131 UPSON TER",41.280323,-72.894104
407,"20 LEROY TER",41.279526,-72.89386
408,"16 LEROY TER",41.27949,-72.89387
409,"60 SOUND VIEW TER",41.279324,-72.894165
410,"44 SOUND VIEW TER",41.27935,-72.89445
411,"30 SOUND VIEW TER",41.279373,-72.89469
412,"835 TOWNSEND AV",41.279594,-72.89524
413,"845 TOWNSEND AV",41.279808,-72.895195
414,"853 TOWNSEND AV",41.279976,-72.89516
415,"LEROY TER",NA,NA
416,"155 UPSON TER",41.28024,-72.89351
417,"165 UPSON TER",41.28022,-72.89337
418,"175 UPSON TER",41.280205,-72.89324
419,"185 UPSON TER",41.28019,-72.893105
420,"195 UPSON TER",41.28017,-72.89297
421,"205 UPSON TER",41.280155,-72.89283
422,"215 UPSON TER",41.28014,-72.89269
423,"140 SOUND VIEW TER",41.279213,-72.89312
424,"70 HORSLEY AV",41.279427,-72.892395
425,"136 SOUND VIEW TER",41.279217,-72.89316
426,"126 SOUND VIEW TER",41.27923,-72.89326
427,"114 SOUND VIEW TER",41.27924,-72.89337
428,"104 SOUND VIEW TER",41.27925,-72.89346
429,"92 SOUND VIEW TER",41.279263,-72.89358
430,"80 SOUND VIEW TER",41.279274,-72.89369
431,"15 LEROY TER",41.279488,-72.89385
432,"773 TOWNSEND AV",41.27788,-72.895645
433,"105 TUTTLE DR",41.277843,-72.89388
434,"115 TUTTLE DR",41.277824,-72.89374
435,"123 TUTTLE DR",41.27781,-72.89362
436,"129 TUTTLE DR",41.277798,-72.89354
437,"139 TUTTLE DR",41.27778,-72.893394
438,"147 TUTTLE DR",41.277763,-72.89328
439,"155 TUTTLE DR",41.277752,-72.89316
440,"167 TUTTLE DR",41.277706,-72.892815
441,"171 TUTTLE DR",41.277702,-72.89281
442,"110 TOWNSEND TER",41.274197,-72.892746
443,"102 TOWNSEND TER",41.27423,-72.893
444,"96 TOWNSEND TER",41.274254,-72.89318
445,"88 TOWNSEND TER",41.274284,-72.893425
446,"84 TOWNSEND TER",41.274303,-72.89355
447,"80 TOWNSEND TER",41.27432,-72.89367
448,"72 TOWNSEND TER",41.27434,-72.89391
449,"66 TOWNSEND TER",41.27436,-72.8941
450,"60 TOWNSEND TER",41.27438,-72.89429
451,"52 TOWNSEND TER",41.274406,-72.89453
452,"46 TOWNSEND TER",41.274426,-72.894714
453,"38 TOWNSEND TER",41.274452,-72.89496
454,"30 TOWNSEND TER",41.27448,-72.89521
455,"22 TOWNSEND TER",41.274532,-72.89543
456,"663 TOWNSEND AV",41.274773,-72.896324
457,"701 TOWNSEND AV",41.275238,-72.896225
458,"TOWNSEND AV",NA,NA
459,"709 TOWNSEND AV",41.27616,-72.89602
460,"725 TOWNSEND AV",41.27673,-72.8959
461,"745 TOWNSEND AV",41.27721,-72.89579
462,"757 TOWNSEND AV",41.277496,-72.89573
463,"765 TOWNSEND AV",41.277687,-72.89568
464,"601 TOWNSEND AV",41.273136,-72.896706
465,"23 HALL ST",NA,NA
466,"27 HALL ST",NA,NA
467,"33 HALL ST",NA,NA
468,"41 HALL ST",NA,NA
469,"47 HALL ST",NA,NA
470,"55 HALL ST",NA,NA
471,"61 HALL ST",NA,NA
472,"65 HALL ST",NA,NA
473,"71 HALL ST",NA,NA
474,"77 HALL ST",NA,NA
475,"83 HALL ST",NA,NA
476,"89 HALL ST",NA,NA
477,"95 HALL ST",NA,NA
478,"103 HALL ST",41.272747,-72.893295
479,"105 HALL ST",41.272736,-72.89324
480,"424 FORT HALE RD",41.271786,-72.89341
481,"408 FORT HALE RD",41.271835,-72.89364
482,"400 FORT HALE RD",41.271862,-72.89375
483,"386 FORT HALE RD",41.271908,-72.89395
484,"368 FORT HALE RD",41.271965,-72.89422
485,"FORT HALE RD",NA,NA
486,"350 FORT HALE RD",41.272022,-72.89448
487,"340 FORT HALE RD",41.272053,-72.894615
488,"330 FORT HALE RD",41.272087,-72.89476
489,"320 FORT HALE RD",41.272118,-72.894905
490,"306 FORT HALE RD",41.272163,-72.89511
491,"294 FORT HALE RD",41.272198,-72.89529
492,"280 FORT HALE RD",41.272243,-72.895485
493,"270 FORT HALE RD",41.272274,-72.89563
494,"260 FORT HALE RD",41.27231,-72.895775
495,"581 TOWNSEND AV",41.272655,-72.896805
496,"591 TOWNSEND AV",41.272896,-72.89675
497,"106 HALL ST",41.272724,-72.89313
498,"100 HALL ST",41.272762,-72.89331
499,"94 HALL ST",NA,NA
500,"88 HALL ST",NA,NA
501,"82 HALL ST",NA,NA
502,"76 HALL ST",NA,NA
503,"72 HALL ST",NA,NA
504,"66 HALL ST",NA,NA
505,"60 HALL ST",NA,NA
506,"54 HALL ST",NA,NA
507,"46 HALL ST",NA,NA
508,"40 HALL ST",NA,NA
509,"34 HALL ST",NA,NA
510,"28 HALL ST",NA,NA
511,"22 HALL ST",NA,NA
512,"HALL ST",NA,NA
513,"8 HALL ST",NA,NA
514,"621 TOWNSEND AV",41.273712,-72.896576
515,"635 TOWNSEND AV",41.274075,-72.8965
516,"641 TOWNSEND AV",41.27426,-72.896454
517,"49 TOWNSEND TER",41.274406,-72.894615
518,"645 TOWNSEND AV",41.27435,-72.89643
519,"655 TOWNSEND AV",41.274563,-72.89638
520,"25 TOWNSEND TER",41.274483,-72.89535
521,"33 TOWNSEND TER",41.274456,-72.8951
522,"37 TOWNSEND TER",41.274445,-72.89498
523,"43 TOWNSEND TER",41.274426,-72.8948
524,"TOWNSEND TER",NA,NA
525,"51 TOWNSEND TER",41.2744,-72.89456
526,"59 TOWNSEND TER",41.274372,-72.89432
527,"65 TOWNSEND TER",41.274353,-72.894135
528,"71 TOWNSEND TER",41.274334,-72.89395
529,"77 TOWNSEND TER",41.274315,-72.89377
530,"85 TOWNSEND TER",41.27429,-72.89353
531,"91 TOWNSEND TER",41.274265,-72.89335
532,"99 TOWNSEND TER",41.274235,-72.89311
533,"105 TOWNSEND TER",41.27421,-72.89293
534,"111 TOWNSEND TER",41.274185,-72.892746
535,"220 HYDE ST",41.27338,-72.892265
536,"15 TOLLI TER",41.273438,-72.89265
537,"19 TOLLI TER",41.273453,-72.892715
538,"27 TOLLI TER",41.27348,-72.89285
539,"35 TOLLI TER",41.27351,-72.89298
540,"43 TOLLI TER",41.273537,-72.89312
541,"59 TOLLI TER",41.273598,-72.89339
542,"52 TOLLI TER",41.27356,-72.89327
543,"48 TOLLI TER",41.273544,-72.8932
544,"40 TOLLI TER",41.273518,-72.89307
545,"30 TOLLI TER",41.27348,-72.8929
546,"20 TOLLI TER",41.27344,-72.89272
547,"10 TOLLI TER",41.273407,-72.892555
548,"4 TOLLI TER",41.273384,-72.89245
549,"503 TOWNSEND AV",41.270515,-72.89689
550,"STUYVESANT AV",NA,NA
551,"21 STUYVESANT AV",41.270664,-72.89596
552,"27 STUYVESANT AV",41.27066,-72.89576
553,"33 STUYVESANT AV",41.270657,-72.89556
554,"41 STUYVESANT AV",41.270657,-72.8953
555,"45 STUYVESANT AV",41.270653,-72.89517
556,"47 STUYVESANT AV",41.270653,-72.89511
557,"53 STUYVESANT AV",41.27065,-72.89491
558,"57 STUYVESANT AV",41.27065,-72.89478
559,"61 STUYVESANT AV",41.27065,-72.89465
560,"65 STUYVESANT AV",41.270645,-72.89452
561,"71 STUYVESANT AV",41.270645,-72.894325
