pid,location
467,33 HALL ST
468,41 HALL ST
469,47 HALL ST
470,55 HALL ST
471,61 HALL ST
472,65 HALL ST
473,71 HALL ST
474,77 HALL ST
475,83 HALL ST
476,89 HALL ST
477,95 HALL ST
478,103 HALL ST
479,105 HALL ST
480,424 FORT HALE RD
481,408 FORT HALE RD
482,400 FORT HALE RD
483,386 FORT HALE RD
484,368 FORT HALE RD
485,FORT HALE RD
486,350 FORT HALE RD
487,340 FORT HALE RD
488,330 FORT HALE RD
489,320 FORT HALE RD
490,306 FORT HALE RD
491,294 FORT HALE RD
492,280 FORT HALE RD
493,270 FORT HALE RD
494,260 FORT HALE RD
495,581 TOWNSEND AV
496,591 TOWNSEND AV
497,106 HALL ST
498,100 HALL ST
499,94 HALL ST
500,88 HALL ST
501,82 HALL ST
502,76 HALL ST
503,72 HALL ST
504,66 HALL ST
505,60 HALL ST
506,54 HALL ST
507,46 HALL ST
508,40 HALL ST
509,34 HALL ST
510,28 HALL ST
511,22 HALL ST
512,HALL ST
513,8 HALL ST
514,621 TOWNSEND AV
515,635 TOWNSEND AV
516,641 TOWNSEND AV
517,49 TOWNSEND TER
518,645 TOWNSEND AV
519,655 TOWNSEND AV
520,25 TOWNSEND TER
521,33 TOWNSEND TER
522,37 TOWNSEND TER
523,43 TOWNSEND TER
524,TOWNSEND TER
525,51 TOWNSEND TER
526,59 TOWNSEND TER
527,65 TOWNSEND TER
528,71 TOWNSEND TER
529,77 TOWNSEND TER
530,85 TOWNSEND TER
531,91 TOWNSEND TER
532,99 TOWNSEND TER
533,105 TOWNSEND TER
534,111 TOWNSEND TER
535,220 HYDE ST
536,15 TOLLI TER
537,19 TOLLI TER
538,27 TOLLI TER
539,35 TOLLI TER
540,43 TOLLI TER
541,59 TOLLI TER
542,52 TOLLI TER
543,48 TOLLI TER
544,40 TOLLI TER
545,30 TOLLI TER
546,20 TOLLI TER
547,10 TOLLI TER
548,4 TOLLI TER
549,503 TOWNSEND AV
550,STUYVESANT AV
551,21 STUYVESANT AV
552,27 STUYVESANT AV
553,33 STUYVESANT AV
554,41 STUYVESANT AV
555,45 STUYVESANT AV
556,47 STUYVESANT AV
557,53 STUYVESANT AV
558,57 STUYVESANT AV
559,61 STUYVESANT AV
560,65 STUYVESANT AV
561,71 STUYVESANT AV
562,75 STUYVESANT AV
563,87 STUYVESANT AV
564,88 HYDE ST
565,82 HYDE ST
566,74 HYDE ST
567,76 GIRARD AV
568,70 GIRARD AV
569,64 GIRARD AV
570,56 GIRARD AV
571,52 GIRARD AV
572,48 GIRARD AV
573,44 GIRARD AV
574,38 GIRARD AV
575,32 GIRARD AV
576,24 GIRARD AV
577,18 GIRARD AV
578,483 TOWNSEND AV
579,487 TOWNSEND AV
580,493 TOWNSEND AV
581,497 TOWNSEND AV
582,565 TOWNSEND AV
583,255 FORT HALE RD
584,267 FORT HALE RD
585,287 FORT HALE RD
586,303 FORT HALE RD
587,315 FORT HALE RD
588,325 FORT HALE RD
589,339 FORT HALE RD
590,355 FORT HALE RD
591,369 FORT HALE RD
592,387 FORT HALE RD
593,405 FORT HALE RD
594,425 FORT HALE RD
595,136 HYDE ST
596,130 HYDE ST
597,126 HYDE ST
598,120 HYDE ST
599,116 HYDE ST
600,108 HYDE ST
601,76 STUYVESANT AV
602,NA
603,72 STUYVESANT AV
604,68 STUYVESANT AV
605,62 STUYVESANT AV
606,58 STUYVESANT AV
607,52 STUYVESANT AV
608,48 STUYVESANT AV
609,42 STUYVESANT AV
610,38 STUYVESANT AV
611,30 STUYVESANT AV
612,16 STUYVESANT AV
613,14 STUYVESANT AV
614,511 TOWNSEND AV
615,519 TOWNSEND AV
616,523 TOWNSEND AV
617,527 TOWNSEND AV
618,535 TOWNSEND AV
619,541 TOWNSEND AV
620,551 TOWNSEND AV
621,555 TOWNSEND AV
622,73 HYDE ST
623,77 HYDE ST
624,81 HYDE ST
625,85 HYDE ST
626,91 HYDE ST
627,97 HYDE ST
628,111 STUYVESANT AV
629,121 STUYVESANT AV
630,14 STEWART ST
631,STEWART ST
632,112 GIRARD AV
633,104 GIRARD AV
634,5 STEWART ST
635,21 STEWART ST
636,137 STUYVESANT AV
637,143 STUYVESANT AV
638,145 STUYVESANT AV
639,204 BURR ST
640,174 BURR ST
641,140 GIRARD AV
642,132 GIRARD AV
643,105 HYDE ST
644,109 HYDE ST
645,115 HYDE ST
646,121 HYDE ST
647,127 HYDE ST
648,133 HYDE ST
649,141 HYDE ST
650,471 FORT HALE RD
651,FORT HALE RD
652,NA
653,487 FORT HALE RD
654,495 FORT HALE RD
655,54 STEWART ST
656,50 STEWART ST
657,44 STEWART ST
658,120 STUYVESANT AV
659,35 STEWART ST
660,41 STEWART ST
661,43 STEWART ST
662,49 STEWART ST
663,57 STEWART ST
664,515 FORT HALE RD
665,535 FORT HALE RD
666,555 FORT HALE RD
667,569 FORT HALE RD
668,585 FORT HALE RD
669,230 BURR ST
670,226 BURR ST
671,220 BURR ST
672,210 BURR ST
673,150 STUYVESANT AV
674,146 STUYVESANT AV
675,151 HYDE ST
676,159 HYDE ST
677,165 HYDE ST
678,119 HALL ST
679,129 HALL ST
680,137 HALL ST
681,145 HALL ST
682,151 HALL ST
683,155 HALL ST
684,159 HALL ST
685,163 HALL ST
686,175 HALL ST
687,274 BURR ST
688,266 BURR ST
689,258 BURR ST
690,250 BURR ST
691,570 FORT HALE RD
692,550 FORT HALE RD
693,540 FORT HALE RD
694,530 FORT HALE RD
695,520 FORT HALE RD
696,510 FORT HALE RD
697,488 FORT HALE RD
698,478 FORT HALE RD
699,468 FORT HALE RD
700,120 HALL ST
701,203 HYDE ST
702,211 HYDE ST
703,296 BURR ST
704,292 BURR ST
705,286 BURR ST
706,180 HALL ST
707,HALL ST
708,174 HALL ST
709,180 TOWNSEND TER
710,166 HALL ST
711,158 HALL ST
712,177 TOWNSEND TER
713,148 HALL ST
714,136 HALL ST
715,130 HALL ST
716,351 CONCORD ST
717,87 BURR ST
718,97 BURR ST
719,103 BURR ST
720,109 BURR ST
721,1850 DEAN ST
722,1840 DEAN ST
723,1836 DEAN ST
724,1832 DEAN ST
725,1820 DEAN ST
726,40 ELMER ST
727,34 ELMER ST
728,30 ELMER ST
729,24 ELMER ST
730,20 ELMER ST
731,4 ELMER ST
732,327 CONCORD ST
733,331 CONCORD ST
734,337 CONCORD ST
735,341 CONCORD ST
736,349 CONCORD ST
737,BURR ST
738,421 TOWNSEND AV
739,385 TOWNSEND AV
740,CONCORD ST
741,398 CONCORD ST
742,396 CONCORD ST
743,388 CONCORD ST
744,66 BURR ST
745,54 BURR ST
746,60 BURR ST
747,44 BURR ST
748,34 BURR ST
749,431 TOWNSEND AV
750,439 TOWNSEND AV
751,15 LEY ST
752,19 LEY ST
753,25 LEY ST
754,31 LEY ST
755,37 LEY ST
756,45 LEY ST
757,51 LEY ST
758,57 LEY ST
759,63 LEY ST
760,71 LEY ST
761,77 LEY ST
762,81 LEY ST
763,89 LEY ST
764,95 LEY ST
765,110 BURR ST
766,106 BURR ST
767,104 BURR ST
768,100 BURR ST
769,375 CONCORD ST
770,383 CONCORD ST
771,473 TOWNSEND AV
772,17 GIRARD AV
773,23 GIRARD AV
774,27 GIRARD AV
775,33 GIRARD AV
776,35 GIRARD AV
777,37 GIRARD AV
778,47 GIRARD AV
779,51 GIRARD AV
780,57 GIRARD AV
781,GIRARD AV
782,63 GIRARD AV
783,69 GIRARD AV
784,75 GIRARD AV
785,79 GIRARD AV
786,89 GIRARD AV
787,95 GIRARD AV
788,99 GIRARD AV
789,105 GIRARD AV
790,115 GIRARD AV
791,119 GIRARD AV
792,125 GIRARD AV
793,133 GIRARD AV
794,118 BURR ST
795,100 LEY ST
796,94 LEY ST
797,90 LEY ST
798,78 LEY ST
799,74 LEY ST
800,70 LEY ST
801,68 LEY ST
802,64 LEY ST
803,54 LEY ST
804,48 LEY ST
805,42 LEY ST
806,38 LEY ST
807,34 LEY ST
808,26 LEY ST
809,24 LEY ST
810,20 LEY ST
811,445 TOWNSEND AV
812,449 TOWNSEND AV
813,455 TOWNSEND AV
814,461 TOWNSEND AV
815,155 BURR ST
816,257 CONCORD ST
817,15 ALFRED ST
818,19 ALFRED ST
819,23 ALFRED ST
820,29 ALFRED ST
821,37 ALFRED ST
822,ALFRED ST
823,47 ALFRED ST
824,50 NELSON ST
825,44 NELSON ST
826,40 NELSON ST
827,30 NELSON ST
828,26 NELSON ST
829,20 NELSON ST
830,16 NELSON ST
831,239 CONCORD ST
832,245 CONCORD ST
833,247 CONCORD ST
834,253 CONCORD ST
835,NA
836,MYRON ST
